Variable,Label,coef_HS,se_HS,coef_Pre,se_Pre,ControlMean,se_Control,N
Attrited,Attrited,0.021897334983895515,0.013454675482145182,-0.007850559108972024,0.016336423289108497,0.038391224862888484,0.008222783803146514,1314
PPVTat3,"PPVT score, age 3",2.23985486601764,4.805166803456924,-7.1644865366457156,4.110793630069865,19.90277777777778,1.3083276848988779,195
Res_0to3,"In mother's HH, 0–3",0.006360639476351213,0.0279345538229169,-0.037572806251890634,0.02610703468095709,0.8987854251012146,0.01358395013504864,1187
HealthCond_before,Pre-existing health limitation,-0.005543600206858905,0.012969260474640108,-0.04481124707363418,0.018352252498039696,0.04048582995951417,0.008876745325285993,1187
logBW,ln(birth weight),0.04978407542142377,0.019616980157783688,-0.00956202042491747,0.01626653190304703,4.70218343409751,0.010953888459591112,1226
VLow_BW,Very low BW (<3.31 lbs),-0.021781842836598928,0.012331214611361175,-0.003134376902315476,0.007483154764174492,0.021484375,0.006414086233676005,1226
LogInc_0to3,"ln(income), age 0–3",-0.0065142375450682605,0.042303765400175386,0.037353617050113974,0.03275200506721539,9.998622774067593,0.03226428448385046,1186
LogIncAt3,"ln(income), age 3",0.013312428802475133,0.08576312693467154,0.03867817097769972,0.06467775133906073,9.981013173787774,0.04073640987304875,993
FirstBorn,Firstborn,2.0383000842727483e-17,4.593028351393813e-17,3.8337388819087437e-16,5.0298500379646575e-17,0.4187380497131931,0.021593443708201817,1251
Male,Male,-1.0842021724855044e-16,4.189222258350162e-17,6.510634045775454e-17,3.891295012296819e-17,0.502868068833652,0.021884045439349294,1251
Age2_Yr104,Age in 2004 (in years),-0.019828715786607352,0.026418133716624402,0.029365101178417917,0.024467130894470362,23.202676864244744,0.12588763473640266,1251
HOME_Pct_0to3,"HOME score, age 0–3",2.2574238565871783,3.254535982293691,2.3872924293100146,4.0074888960806945,38.05395683453237,2.2261121480699577,427
Moth_HrsWorked_BefBirth,"Mom avg hours worked, year before birth",-0.3983703607915014,1.681555795980349,1.2774083017855038,1.0130947525698104,14.296249133749134,0.5244719865862888,377
Moth_HrsWorked_0to1,"Mom avg hours worked, age 0–1",-1.025110120361342,2.983830558135698,1.6512580969575597,1.7022571342301063,32.522222222222226,0.9035388577580183,379
Father_HH_0to3,"Father in HH, 0–3",0.00718256856955286,0.03461933277113743,-0.004533296344795427,0.024629033967443627,0.6244331065759637,0.026222416971046655,739
GMom_0to3,"Grandmother in HH, 0–3",-0.010152806274456937,0.021382263455371333,-0.03665104262676952,0.01758750995021979,0.21495640509725017,0.014571429763425181,1190
MomCare,"Maternal care, age 0–3",0.01863970526678155,0.019500190056442383,-0.015691679527154112,0.021940397272620434,0.6891891891891891,0.017805479694306618,1244
RelCare,"Relative care, age 0–3",-0.007529152050292896,0.01885035749483626,0.023684202595049705,0.01935855818342178,0.17985842985842984,0.01470856238260285,1244
NonRelCare,"Nonrelative care, age 0–3",-0.011110553216488659,0.016571130926180722,-0.007992523067895599,0.015686512550182365,0.13095238095238093,0.01242845645470382,1244
Breastfed,Breastfed,-0.050538487088282395,0.026438639258870467,-0.015347570593896943,0.02332678155087563,0.3333333333333333,0.02077256509499186,1234
Moth_Smoke_BefBirth,Mom smoked before birth,-0.010564117245150141,0.030477046298537758,-0.007074740206260779,0.02298448205703424,0.39183673469387753,0.022075382472922237,1186
Alc_BefBirth,Mom drank before birth,0.07104250271985219,0.07416432336400892,0.05670355983159401,0.05467633072395747,0.23595505617977527,0.03191445731253357,418
Doctor_0to3,"Regular doctor's visits, age 0–3",0.02725102009631234,0.09903462002147957,-0.05012656501688739,0.11039222614787139,0.3829787234042553,0.04108406197958229,430
Dentist_0to3,"Ever been to dentist, age 0–3",0.018745550395066986,0.14632656508152192,0.016375243327231656,0.1320573488565887,0.30303030303030304,0.04015266082801945,401
Moth_WeightChange,Weight change during pregnancy,0.10787455037737281,1.1709353681188743,0.17830995079661327,1.1358400046031305,29.70886075949367,0.704505793235851,1146
Illness_1stYr,"Child illness, age 0–1",0.01964043342331547,0.041112206367571194,-0.06462961372526005,0.04085852340979801,0.5204918032786885,0.02263812660485375,1175
Premature,Premature birth,-0.0482612380303043,0.033625337587101414,0.0026619030288260164,0.033609487087819884,0.21765913757700206,0.018718382802618,1175
Insurance_0to3,"Private health insurance, age 0–3",0.08362706305234521,0.06704842742779699,0.0334936851995343,0.048161376623663064,0.44680851063829785,0.04048281549052487,431
Medicaid_0to3,"Medicaid, age 0–3",0.04496639042607053,0.05588562904702994,-0.008420664570685833,0.04716774380810754,0.375886524822695,0.03838033824696213,431
PreTreatIndex,Pre-treatment index,0.03212655000983444,0.05735794708359358,0.058158752159208474,0.05261655217335659,-0.06555382851809904,0.04331353549972416,1251
