,1_OLS_NoControls,2_OLS_PreTreat,3_OLS_Full,4_FE_NoControls,5_FE_PreTreat
N,4687.0,4687.0,4687.0,4687.0,4687.0
R2,0.027623947611941535,0.19835694348999033,0.26946608301500274,0.020913805916711325,0.049681646817467895
P_Equality,0.07352297321413678,0.11056575230495289,0.17013262780467203,0.09169527151165215,0.15193440984801831
HS_5to6_coef,-0.025495453321675063,0.0911901980691393,0.09813641957764846,0.13085806449808218,0.14464362043449733
HS_5to6_se,0.09134947600311312,0.08271038637785635,0.07899389006625801,0.087219695631517,0.08546019889263382
HS_7to10_coef,-0.11621510179282833,0.0471123508587645,0.06979603686333223,0.11608017736048389,0.1333059311133406
HS_7to10_se,0.07178843448248766,0.0648576179808867,0.06122557997103081,0.059951122007689615,0.060439914226058974
HS_11to14_coef,-0.20079443518311582,-0.04133405758973488,-0.012150036761471934,0.0289574536204718,0.054936243998488794
HS_11to14_se,0.06985096843234395,0.06463411611026276,0.06120093219444198,0.06091780105048199,0.06204233211576222
Pre_5to6_coef,0.16660893349040487,0.016672807505369338,-0.021505019421574942,-0.10240188817843172,-0.07974838420871738
Pre_5to6_se,0.08288087867710796,0.08091752533078836,0.07749858547561034,0.08357763499296612,0.08500879876433287
Pre_7to10_coef,0.22956482465886455,0.10357301684247647,0.08202786990768522,0.0306265583409459,0.04698410548307414
Pre_7to10_se,0.06964342240286125,0.06437334618052315,0.061110414785995396,0.06099729228264444,0.06451747832256749
Pre_11to14_coef,0.18154025829068093,0.06890149868675026,0.032190306268743814,-0.039902133533469435,-0.022830408657016295
Pre_11to14_se,0.07164952978302898,0.06840613675510797,0.06498486069459776,0.06621085286495253,0.06921249950371355
