,Black,Male,lowAFQT
HS_Black_coef,0.10800157446526067,,
HS_Black_se,0.07263821871395276,,
HS_NonBlack_coef,0.10870111428279607,,
HS_NonBlack_se,0.09030599174270539,,
Pre_Black_coef,0.04122856434501982,,
Pre_Black_se,0.09095880433787229,,
Pre_NonBlack_coef,-0.01039668567399451,,
Pre_NonBlack_se,0.07697526198925748,,
p_HS_eq_Pre_Black,0.474150663293077,,
p_HS_eq_Pre_NonBlack,0.258858660433346,,
p_HS_Black_eq_HS_NonBlack,0.9951872983647113,,
R2_within,0.04509488558010122,0.045633432891495906,0.047398790577441674
N,4687.0,4687.0,4687.0
HS_Male_coef,,0.15997051093583547,
HS_Male_se,,0.07672176933654781,
HS_NonMale_coef,,0.05387050132442276,
HS_NonMale_se,,0.08082885733066986,
Pre_Male_coef,,0.05450553189375124,
Pre_Male_se,,0.09505495588074386,
Pre_NonMale_coef,,-0.03683475040644,
Pre_NonMale_se,,0.08314072944012917,
p_HS_eq_Pre_Male,,0.27960847189761967,
p_HS_eq_Pre_NonMale,,0.3106857025390141,
p_HS_Male_eq_HS_NonMale,,0.33744703838213497,
HS_lowAFQT_coef,,,0.01572633449989484
HS_lowAFQT_se,,,0.09478057186949676
HS_NonlowAFQT_coef,,,0.15307732057792922
HS_NonlowAFQT_se,,,0.07105222642653042
Pre_lowAFQT_coef,,,0.1272668206092616
Pre_lowAFQT_se,,,0.14351153339080822
Pre_NonlowAFQT_coef,,,-0.01975137525873633
Pre_NonlowAFQT_se,,,0.06483471695303383
p_HS_eq_Pre_lowAFQT,,,0.45635200560244327
p_HS_eq_Pre_NonlowAFQT,,,0.029682970028519003
p_HS_lowAFQT_eq_HS_NonlowAFQT,,,0.25222887369238295
