,Black,Male,lowAFQT
HS_Black_5to6_coef,0.28704373941186107,,
HS_Black_5to6_se,0.09498550702570606,,
HS_NonBlack_5to6_coef,-0.058661759508347115,,
HS_NonBlack_5to6_se,0.12054825571178769,,
p_Black_vs_NonBlack_5to6,0.023212295662146602,,
HS_Black_7to10_coef,0.12737498527257596,,
HS_Black_7to10_se,0.07502049538671447,,
HS_NonBlack_7to10_coef,0.11000188476308725,,
HS_NonBlack_7to10_se,0.09156507360278875,,
p_Black_vs_NonBlack_7to10,0.8835975499523797,,
HS_Black_11to14_coef,0.0317447786098298,,
HS_Black_11to14_se,0.07652689097421461,,
HS_NonBlack_11to14_coef,0.15450750619706732,,
HS_NonBlack_11to14_se,0.09555206733030239,,
p_Black_vs_NonBlack_11to14,0.3171289164942061,,
R2_within,0.052082872503516286,0.04882007443696168,0.04988239893953805
N,4687.0,4687.0,4687.0
HS_Male_5to6_coef,,0.1532461049172873,
HS_Male_5to6_se,,0.10721405445812711,
HS_NonMale_5to6_coef,,0.1268772855568297,
HS_NonMale_5to6_se,,0.10573379097402942,
p_Male_vs_NonMale_5to6,,0.8595172572193661,
HS_Male_7to10_coef,,0.18209211717412904,
HS_Male_7to10_se,,0.07976289874079018,
HS_NonMale_7to10_coef,,0.05804326921377112,
HS_NonMale_7to10_se,,0.08299571651066111,
p_Male_vs_NonMale_7to10,,0.2795077928933617,
HS_Male_11to14_coef,,0.1423141968166517,
HS_Male_11to14_se,,0.08159984344658501,
HS_NonMale_11to14_coef,,0.032217941243316776,
HS_NonMale_11to14_se,,0.08528913832743522,
p_Male_vs_NonMale_11to14,,0.34577801633260696,
HS_lowAFQT_5to6_coef,,,0.17208160949163817
HS_lowAFQT_5to6_se,,,0.1290292256894973
HS_NonlowAFQT_5to6_coef,,,0.13093207240170202
HS_NonlowAFQT_5to6_se,,,0.09418083789551451
p_lowAFQT_vs_NonlowAFQT_5to6,,,0.7970721777448779
HS_lowAFQT_7to10_coef,,,0.016277326183342985
HS_lowAFQT_7to10_se,,,0.09565140532588459
HS_NonlowAFQT_7to10_coef,,,0.17080174592678316
HS_NonlowAFQT_7to10_se,,,0.07313905868578167
p_lowAFQT_vs_NonlowAFQT_7to10,,,0.2038663576131451
HS_lowAFQT_11to14_coef,,,-0.022222358993028712
HS_lowAFQT_11to14_se,,,0.10264345756267314
HS_NonlowAFQT_11to14_coef,,,0.14373138421428266
HS_NonlowAFQT_11to14_se,,,0.07487634320570348
p_lowAFQT_vs_NonlowAFQT_11to14,,,0.19769460547782153
