outcome,spec,HS_coef,HS_se,Pre_coef,Pre_se,p_HS_eq_Pre,N,HS_Black_coef,HS_Black_se,HS_NonBlack_coef,HS_NonBlack_se,p_HS_eq_Pre_group,p_HS_eq_Pre_nongroup,p_HS_group_eq_HS_nongroup,HS_Male_coef,HS_Male_se,HS_NonMale_coef,HS_NonMale_se,HS_lowAFQT_coef,HS_lowAFQT_se,HS_NonlowAFQT_coef,HS_NonlowAFQT_se
Repeat,overall,-0.07167036495501401,0.04078146076517026,-0.08151233470510424,0.03634190602817991,0.8346272932974719,1171,,,,,,,,,,,,,,,
Repeat,subgroup_Black,,,,,,1171,-0.1100057572176255,0.056646974156818415,-0.02955783728244705,0.058580433825450466,0.9930431898127039,0.6104984845470157,0.3233113854169799,,,,,,,,
Repeat,subgroup_Male,,,,,,1171,,,,,0.1065722561844834,0.053036272509814575,0.001816432544566533,-0.20735332400643208,0.057706788438040627,0.05322169793867839,0.05754362301340146,,,,
Repeat,subgroup_lowAFQT,,,,,,1171,,,,,0.4422760625939799,0.3756998345633261,0.18614137380725546,,,,,-0.14374191194960312,0.06783487473520927,-0.03261790045375679,0.05054028441575888
LD,overall,-0.058028359695210766,0.020779112717564576,-0.022978599813640456,0.023115462042042068,0.1784575939384729,1247,,,,,,,,,,,,,,,
LD,subgroup_Black,,,,,,1247,-0.07021505483748355,0.02833055751446526,-0.04576302100696507,0.030453960814114712,0.33915065726926197,0.4293977487045578,0.5469203199062957,,,,,,,,
LD,subgroup_Male,,,,,,1247,,,,,0.6621618249707248,0.11461307169998115,0.5618056375844674,-0.04655322177426536,0.030675210405321254,-0.06930457895499229,0.02634790127051667,,,,
LD,subgroup_lowAFQT,,,,,,1247,,,,,0.167329675470486,0.7955898959452348,0.09325956898156822,,,,,-0.10927573152009455,0.04251895016867006,-0.030419552582054185,0.021487378324048192
HSGrad,overall,0.08504848404678222,0.031150560082257285,-0.011957230818718736,0.03085689983797863,0.010229312021742423,1251,,,,,,,,,,,,,,,
HSGrad,subgroup_Black,,,,,,1251,0.10938740119838657,0.04138029930322477,0.055579631228294304,0.04798024359812663,0.0198615243786384,0.21993532168436855,0.39758048920070443,,,,,,,,
HSGrad,subgroup_Male,,,,,,1251,,,,,0.020725421688170986,0.22858281028076144,0.4150940656843337,0.11382134323099118,0.04903241866277115,0.057111629404246245,0.044326649889094266,,,,
HSGrad,subgroup_lowAFQT,,,,,,1251,,,,,0.023637238391929678,0.20344498852589474,0.05592207256620068,,,,,0.1673684534862687,0.05579367335166734,0.04089615815354952,0.03655683956457251
HSGrad_GED,overall,0.06480537815913538,0.034129222334643085,-0.013678733114448272,0.03368207594891918,0.05431788941018619,1100,,,,,,,,,,,,,,,
HSGrad_GED,subgroup_Black,,,,,,1100,0.06722472797469557,0.04459557706991391,0.06113252500642466,0.0519589135943675,0.1486609539056149,0.21159909884662945,0.9281727514132172,,,,,,,,
HSGrad_GED,subgroup_Male,,,,,,1100,,,,,0.0843576526193949,0.36929247760131234,0.21600405854516733,0.11058152414200938,0.05217077097766257,0.021189134085636427,0.047197346456276816,,,,
