,1_OLS_NoControls,2_OLS_PreTreat,3_OLS_Full,4_FE_NoControls,5_FE_PreTreat
N,4296.0,4296.0,4296.0,4296.0,4296.0
R2,0.03426799351681986,0.21039787770955254,0.27573484699831985,0.027497183207218945,0.05767818340245279
P_Equality,0.14580137855616443,0.1709509848681214,0.22818326633524888,0.13840629850043365,0.21246464271256268
HS_5to6_coef,-0.029115306799218654,0.10386128827428859,0.1212052731086424,0.12205741401859165,0.14428486717433867
HS_5to6_se,0.09791811359632684,0.086383869454432,0.08358232317811573,0.09394980761633114,0.09167801940481284
HS_7to10_coef,-0.1250690734238622,0.059629336766580936,0.08656592972772502,0.10511349264537581,0.1265839492759557
HS_7to10_se,0.0752160526939934,0.06675740412484114,0.06318560291034783,0.06296459945844225,0.06259193476546353
HS_11to14_coef,-0.19485186291192305,-0.021659585321241962,0.011233594835745098,0.024949652711203987,0.05477316582695782
HS_11to14_se,0.07242521688079731,0.06685353121551842,0.06304675209889223,0.062469957310332204,0.06369777208208861
Pre_5to6_coef,0.22823880567467192,0.07388534947137115,0.042111626979148886,-0.07475006208160254,-0.03235320091049813
Pre_5to6_se,0.08745635251534936,0.08365243530458842,0.08090177794308247,0.08834231761061864,0.0875381542783331
Pre_7to10_coef,0.29382710572598253,0.1751854783263902,0.15281009542622873,0.08423749750433418,0.11501657804188231
Pre_7to10_se,0.0736803942711821,0.06862774263780701,0.06489454603289764,0.06580784754176326,0.06761166851440552
Pre_11to14_coef,0.2660658013755681,0.14556327732610014,0.11061099128892357,0.02367752088130425,0.05191210973055152
Pre_11to14_se,0.07385508001998295,0.0714852859263268,0.06761135024484949,0.0703131084571499,0.07123148344530206
