,1_OLS_NoControls,2_OLS_PreTreat,3_OLS_Full,4_FE_NoControls,5_FE_PreTreat
N,4024.0,4024.0,4024.0,4024.0,4024.0
R2,0.023554513602884963,0.21041881614078484,0.27759755660615404,0.0247919476182602,0.06518111697846929
P_Equality,0.09935075811391143,0.13292998681543494,0.09708611166561476,0.047860552915107116,0.11233362961662115
HS_5to6_coef,-0.01793569061765614,0.1006029135245127,0.10545935667870851,0.16558974773505714,0.18562161380424896
HS_5to6_se,0.09152386140536006,0.08313227988398168,0.0792465787725319,0.09165439071468508,0.08959327910978902
HS_7to10_coef,-0.08951852570927459,0.06333066541304494,0.08392152277992308,0.1610246746403633,0.17695127050865922
HS_7to10_se,0.0791213615031588,0.07271792463200534,0.06927843667010303,0.07130907704442722,0.0724660396392804
HS_11to14_coef,-0.17763735929399532,-0.025106601544427662,-0.015131666163157281,0.05701329226029915,0.08937529666408689
HS_11to14_se,0.08036613570135345,0.07413127773378589,0.0698754952101058,0.07210688420502287,0.07262979869431326
Pre_5to6_coef,0.1767070981869044,0.01616996242879984,-0.01990926932949247,-0.11666122107580579,-0.08814115052916031
Pre_5to6_se,0.08282393526413802,0.08118186077954823,0.07815173806156354,0.08576677106453372,0.08862686110459213
Pre_7to10_coef,0.21643358382621053,0.06672036856643686,0.04759718960577233,0.00022204694806637892,0.01624795303993201
Pre_7to10_se,0.0745400890410366,0.06933751971596484,0.0664640187329926,0.06610518033446396,0.07096514275696639
Pre_11to14_coef,0.1399315729492193,0.002007397744387865,-0.03850402788962965,-0.1010407832167226,-0.07449249022449492
Pre_11to14_se,0.07743837181939503,0.07231453864490311,0.06926458995011556,0.06946512847676423,0.07440667626774089
