,1_OLS_NoControls,2_OLS_PreTreat,3_OLS_Full,4_FE_NoControls,5_FE_PreTreat
N,1699.0,1699.0,1699.0,1699.0,1699.0
R2,0.03126110683459393,0.2607994800439486,0.2871106559486639,0.021566246096176522,0.12848076463132574
P_Equality,0.2342962738250063,0.13777700667194318,0.12289465655271217,0.24333460493365439,0.33980190069590144
HS_5to6_coef,0.03784785567940146,0.14264521077045814,0.183784181816485,0.08665634860030134,0.04067974426020671
HS_5to6_se,0.1364796686529498,0.1344456331939134,0.12856152717484323,0.1341521066442377,0.1405723309710811
HS_7to10_coef,0.07219444600234441,0.19975115321408887,0.23071530080409589,0.1273057328999691,0.13558295947439136
HS_7to10_se,0.10406953934759552,0.1113146785641456,0.1080935481037446,0.10993745746502168,0.12160168515451403
HS_11to14_coef,-0.06551543612454426,0.03854003906420172,0.06447981572664953,0.004610116166098167,0.029605274227401505
HS_11to14_se,0.11157283524062132,0.11212083193912947,0.1088755014264302,0.10894518509445644,0.12197592434620756
Pre_5to6_coef,0.17817582448498295,0.026816304603380726,0.044332716596798924,-0.0852487208198736,-0.05833743532178943
Pre_5to6_se,0.1317311368722324,0.12749710489115876,0.12713265888305572,0.1334847100834449,0.12892341435718319
Pre_7to10_coef,0.2903795301259439,0.16722848572960425,0.19000315400216197,0.06294130216324692,0.09774759269836285
Pre_7to10_se,0.09785349680083716,0.10586169857299947,0.10433978756411101,0.10606837582746644,0.10457970193872353
Pre_11to14_coef,0.23329863900967662,0.08166096494708382,0.09531576938736579,-0.002309207671430554,0.03166095169202463
Pre_11to14_se,0.10339078941864802,0.10813210473173362,0.10517910131861002,0.10633447521698865,0.10444892472073136
