,1_OLS_NoControls,2_OLS_PreTreat,3_OLS_Full,4_FE_NoControls,5_FE_PreTreat
N,4687.0,4687.0,4687.0,4687.0,4687.0
R2,0.029532414173903287,0.19956103162351158,0.2699756711007235,0.020336373309241984,0.04949758039326613
P_Equality,0.12152017926023273,0.17541200640654575,0.27278899319264355,0.14898394981844496,0.22935041999174796
HS_5to6_coef,0.014085139893056249,0.13876440973951795,0.13890756206231594,0.17092543092261783,0.1792112558126798
HS_5to6_se,0.09352197355006032,0.08469451310618571,0.08138468225980988,0.08855336803298051,0.08709330581410193
HS_7to10_coef,-0.098156883047936,0.06495965686418013,0.07891552337964346,0.12203271392847598,0.1395015646820785
HS_7to10_se,0.07290730032905934,0.0654964453674733,0.06202678749368132,0.06066495552977854,0.06052286811203522
HS_11to14_coef,-0.1574860921369226,-0.0009566152644951715,0.0209884034343028,0.0516874953882072,0.07638412935440689
HS_11to14_se,0.071021282396733,0.065793347257086,0.062087815572648565,0.061162302717009405,0.0621672848615756
Pre_5to6_coef,0.2549564660368847,0.0966994517192569,0.04579686666441887,-0.010396271822847473,0.007504827928755546
Pre_5to6_se,0.08028718281931915,0.07804588496280773,0.07540734594259418,0.08121866486728078,0.0810502181916282
Pre_7to10_coef,0.2666625446180638,0.13088431352872634,0.09530780608534932,0.06891486311217455,0.08254111896567284
Pre_7to10_se,0.06763965333816517,0.062500460942305,0.05995745833384893,0.0607873130621246,0.06282261603525484
Pre_11to14_coef,0.24220330570728146,0.11933476852758698,0.06924884310933395,0.00659517790793621,0.018872047073132926
Pre_11to14_se,0.07072953190591606,0.06773883328654336,0.06467057071017286,0.06631172867588461,0.06822726962337844
