,Black,Male,lowAFQT
HS_Black_coef,0.09384358812264178,,
HS_Black_se,0.07884063787503692,,
HS_NonBlack_coef,0.0936255167596014,,
HS_NonBlack_se,0.0908817745501733,,
Pre_Black_coef,0.05037512562426437,,
Pre_Black_se,0.09298583535812216,,
Pre_NonBlack_coef,0.07178272097130653,,
Pre_NonBlack_se,0.0816972570421986,,
p_HS_eq_Pre_Black,0.6566088076364934,,
p_HS_eq_Pre_NonBlack,0.84709034862006,,
p_HS_Black_eq_HS_NonBlack,0.9985539871281386,,
R2_within,0.050907329485670116,0.05180169011561031,0.05089705277443368
N,4296.0,4296.0,4296.0
HS_Male_coef,,0.13069978020058506,
HS_Male_se,,0.08284278047352214,
HS_NonMale_coef,,0.06438116730326526,
HS_NonMale_se,,0.08226859230169628,
Pre_Male_coef,,0.13808907984395338,
Pre_Male_se,,0.10110371901367428,
Pre_NonMale_coef,,-0.005057753355042605,
Pre_NonMale_se,,0.08847439893782022,
p_HS_eq_Pre_Male,,0.9445271813117934,
p_HS_eq_Pre_NonMale,,0.4486367947290578,
p_HS_Male_eq_HS_NonMale,,0.5687398350734745,
HS_lowAFQT_coef,,,0.1122551317049172
HS_lowAFQT_se,,,0.1247551665655046
HS_NonlowAFQT_coef,,,0.09256191122437848
HS_NonlowAFQT_se,,,0.0644788426919786
Pre_lowAFQT_coef,,,0.08874393934597243
Pre_lowAFQT_se,,,0.23542077651657084
Pre_NonlowAFQT_coef,,,0.06104541408624071
Pre_NonlowAFQT_se,,,0.06417636072088759
p_HS_eq_Pre_lowAFQT,,,0.9199715124498768
p_HS_eq_Pre_NonlowAFQT,,,0.6892737740309713
p_HS_lowAFQT_eq_HS_NonlowAFQT,,,0.8864588174834704
