,Black,Male,lowAFQT
HS_Black_coef,0.17534040260869682,,
HS_Black_se,0.08913251897992602,,
HS_NonBlack_coef,0.1152815334840884,,
HS_NonBlack_se,0.10175778734536113,,
Pre_Black_coef,-0.062466287576841695,,
Pre_Black_se,0.11122350841868887,,
Pre_NonBlack_coef,-0.003901210550026228,,
Pre_NonBlack_se,0.07825635130602718,,
p_HS_eq_Pre_Black,0.026127544877761803,,
p_HS_eq_Pre_NonBlack,0.27796977407523016,,
p_HS_Black_eq_HS_NonBlack,0.6543939242222618,,
R2_within,0.060574819413257375,0.06057939576660354,0.06135324988069446
N,4024.0,4024.0,4024.0
HS_Male_coef,,0.19358031225918926,
HS_Male_se,,0.09568311484696523,
HS_NonMale_coef,,0.11311248048313002,
HS_NonMale_se,,0.08974799969842072,
Pre_Male_coef,,0.02491825474749141,
Pre_Male_se,,0.10483951899846496,
Pre_NonMale_coef,,-0.06938383970136974,
Pre_NonMale_se,,0.09200049931673754,
p_HS_eq_Pre_Male,,0.13326252649127934,
p_HS_eq_Pre_NonMale,,0.07668219100351516,
p_HS_Male_eq_HS_NonMale,,0.530806941244373,
HS_lowAFQT_coef,,,0.3524025959754249
HS_lowAFQT_se,,,0.14649881546444163
HS_NonlowAFQT_coef,,,0.1215595760834524
HS_NonlowAFQT_se,,,0.07325768827366547
Pre_lowAFQT_coef,,,0.1348776655450383
Pre_lowAFQT_se,,,0.32042948314931013
Pre_NonlowAFQT_coef,,,-0.040268649491796545
Pre_NonlowAFQT_se,,,0.06544180155398234
p_HS_eq_Pre_lowAFQT,,,0.4625253478791993
p_HS_eq_Pre_NonlowAFQT,,,0.04529515423886478
p_HS_lowAFQT_eq_HS_NonlowAFQT,,,0.1573116658705229
