,Black,Male,lowAFQT
HS_Black_coef,-0.0777411203020061,,
HS_Black_se,0.1350886930911087,,
HS_NonBlack_coef,0.08265097480474334,,
HS_NonBlack_se,0.17312489167910727,,
Pre_Black_coef,-0.1755127668307231,,
Pre_Black_se,0.1585784309772034,,
Pre_NonBlack_coef,0.03514902886803678,,
Pre_NonBlack_se,0.0977360736311954,,
p_HS_eq_Pre_Black,0.5584358589223832,,
p_HS_eq_Pre_NonBlack,0.7703110581533089,,
p_HS_Black_eq_HS_NonBlack,0.45717001853690353,,
R2_within,0.11615700361312276,0.11453392222468117,0.1153638189031575
N,1945.0,1945.0,1945.0
HS_Male_coef,,-0.005340753545650147,
HS_Male_se,,0.1664460178194909,
HS_NonMale_coef,,0.04116259556421632,
HS_NonMale_se,,0.15732448777967503,
Pre_Male_coef,,0.015686994254309014,
Pre_Male_se,,0.12624945599548046,
Pre_NonMale_coef,,-0.07088974853326963,
Pre_NonMale_se,,0.13482790294844801,
p_HS_eq_Pre_Male,,0.9043404616022573,
p_HS_eq_Pre_NonMale,,0.44683183056069975,
p_HS_Male_eq_HS_NonMale,,0.8489356590779312,
HS_lowAFQT_coef,,,0.21883190499916944
HS_lowAFQT_se,,,0.22847098858643256
HS_NonlowAFQT_coef,,,-0.021871652211578635
HS_NonlowAFQT_se,,,0.12257701903338859
Pre_lowAFQT_coef,,,-0.056887789154591806
Pre_lowAFQT_se,,,0.33175829935862233
Pre_NonlowAFQT_coef,,,-0.03202345411678636
Pre_NonlowAFQT_se,,,0.0853773923432964
p_HS_eq_Pre_lowAFQT,,,0.40776360508217513
p_HS_eq_Pre_NonlowAFQT,,,0.9284017673091042
p_HS_lowAFQT_eq_HS_NonlowAFQT,,,0.3693858940233349
