,Black,Male,lowAFQT
HS_Black_5to6_coef,0.24439193314405683,,
HS_Black_5to6_se,0.10450865213557603,,
HS_NonBlack_5to6_coef,-0.019280066543762943,,
HS_NonBlack_5to6_se,0.1267930769047351,,
p_Black_vs_NonBlack_5to6,0.10349631847304992,,
HS_Black_7to10_coef,0.1086572602068269,,
HS_Black_7to10_se,0.0802645142232365,,
HS_NonBlack_7to10_coef,0.09289514612895496,,
HS_NonBlack_7to10_se,0.09349843872855146,,
p_Black_vs_NonBlack_7to10,0.8986479901538831,,
HS_Black_11to14_coef,0.03158591998558001,,
HS_Black_11to14_se,0.08251734024562922,,
HS_NonBlack_11to14_coef,0.1228661090906716,,
HS_NonBlack_11to14_se,0.09517344228581265,,
p_Black_vs_NonBlack_11to14,0.469888863160288,,
R2_within,0.057073374520004716,0.05589443832725427,0.05387770825877747
N,4296.0,4296.0,4296.0
HS_Male_5to6_coef,,0.17320047175337003,
HS_Male_5to6_se,,0.11492330204305597,
HS_NonMale_5to6_coef,,0.10998976556277452,
HS_NonMale_5to6_se,,0.10918553541380914,
p_Male_vs_NonMale_5to6,,0.6819674833015058,
HS_Male_7to10_coef,,0.1465494718082025,
HS_Male_7to10_se,,0.08737177064750667,
HS_NonMale_7to10_coef,,0.06792138782828067,
HS_NonMale_7to10_se,,0.08369269440039287,
p_Male_vs_NonMale_7to10,,0.5181309262757159,
HS_Male_11to14_coef,,0.10299511508206208,
HS_Male_11to14_se,,0.08597224536254111,
HS_NonMale_11to14_coef,,0.049295663754683194,
HS_NonMale_11to14_se,,0.0873797540631809,
p_Male_vs_NonMale_11to14,,0.6601269074899931,
HS_lowAFQT_5to6_coef,,,0.21992204575921986
HS_lowAFQT_5to6_se,,,0.19116073182730156
HS_NonlowAFQT_5to6_coef,,,0.12704820077939818
HS_NonlowAFQT_5to6_se,,,0.08907359187674195
p_lowAFQT_vs_NonlowAFQT_5to6,,,0.65712581637754
HS_lowAFQT_7to10_coef,,,0.05228024783470833
HS_lowAFQT_7to10_se,,,0.12316983044537187
HS_NonlowAFQT_7to10_coef,,,0.11374611388334173
HS_NonlowAFQT_7to10_se,,,0.06644725562000489
p_lowAFQT_vs_NonlowAFQT_7to10,,,0.6550186442015302
HS_lowAFQT_11to14_coef,,,0.1423384452255527
HS_lowAFQT_11to14_se,,,0.13945736381170015
HS_NonlowAFQT_11to14_coef,,,0.06310728611906637
HS_NonlowAFQT_11to14_se,,,0.067309610503263
p_lowAFQT_vs_NonlowAFQT_11to14,,,0.6025957308494334
