,Black,Male,lowAFQT
HS_Black_5to6_coef,0.3288160586260326,,
HS_Black_5to6_se,0.10515510089953152,,
HS_NonBlack_5to6_coef,-0.001862681577832169,,
HS_NonBlack_5to6_se,0.12550696890547142,,
p_Black_vs_NonBlack_5to6,0.040697460417325484,,
HS_Black_7to10_coef,0.17803718527546886,,
HS_Black_7to10_se,0.09283093939538174,,
HS_NonBlack_7to10_coef,0.1318589510461759,,
HS_NonBlack_7to10_se,0.10451455678240265,,
p_Black_vs_NonBlack_7to10,0.7389041960614631,,
HS_Black_11to14_coef,0.09685642802160838,,
HS_Black_11to14_se,0.0938965610735071,,
HS_NonBlack_11to14_coef,0.14823268057168684,,
HS_NonBlack_11to14_se,0.1070682626350335,,
p_Black_vs_NonBlack_11to14,0.7171224102558754,,
R2_within,0.06729830216811283,0.06429978188507879,0.06357549586105438
N,4024.0,4024.0,4024.0
HS_Male_5to6_coef,,0.17916938557261539,
HS_Male_5to6_se,,0.11723892851850179,
HS_NonMale_5to6_coef,,0.20862420694885284,
HS_NonMale_5to6_se,,0.1091021587835835,
p_Male_vs_NonMale_5to6,,0.8502866974295753,
HS_Male_7to10_coef,,0.21937319450547188,
HS_Male_7to10_se,,0.09908455604604634,
HS_NonMale_7to10_coef,,0.10693936859600103,
HS_NonMale_7to10_se,,0.09399284769905872,
p_Male_vs_NonMale_7to10,,0.4006624028206608,
HS_Male_11to14_coef,,0.17082549783531906,
HS_Male_11to14_se,,0.10146545301237957,
HS_NonMale_11to14_coef,,0.08199389267711099,
HS_NonMale_11to14_se,,0.09415454608650456,
p_Male_vs_NonMale_11to14,,0.5136825471693836,
HS_lowAFQT_5to6_coef,,,0.4875673126820945
HS_lowAFQT_5to6_se,,,0.19117614452309586
HS_NonlowAFQT_5to6_coef,,,0.1480828974091834
HS_NonlowAFQT_5to6_se,,,0.08877635037091475
p_lowAFQT_vs_NonlowAFQT_5to6,,,0.10578481634188565
HS_lowAFQT_7to10_coef,,,0.33101899528685125
HS_lowAFQT_7to10_se,,,0.14870501256786334
HS_NonlowAFQT_7to10_coef,,,0.13418877041648164
HS_NonlowAFQT_7to10_se,,,0.07648686721735228
p_lowAFQT_vs_NonlowAFQT_7to10,,,0.23889658874566963
HS_lowAFQT_11to14_coef,,,0.31515537130328175
HS_lowAFQT_11to14_se,,,0.1611224510385441
HS_NonlowAFQT_11to14_coef,,,0.09490612903444846
HS_NonlowAFQT_11to14_se,,,0.07651390226294541
p_lowAFQT_vs_NonlowAFQT_11to14,,,0.21489922343354312
