,Black,Male,lowAFQT
HS_Black_5to6_coef,0.12837597962639036,,
HS_Black_5to6_se,0.18578860307354864,,
HS_NonBlack_5to6_coef,0.18081756732076024,,
HS_NonBlack_5to6_se,0.17684345970965962,,
p_Black_vs_NonBlack_5to6,0.8217959798554539,,
HS_Black_7to10_coef,0.02391209764731861,,
HS_Black_7to10_se,0.15911293504119578,,
HS_NonBlack_7to10_coef,0.3081842562022283,,
HS_NonBlack_7to10_se,0.1679185578208444,,
p_Black_vs_NonBlack_7to10,0.1609275491258529,,
HS_Black_11to14_coef,-0.21758676066932447,,
HS_Black_11to14_se,0.1621158220197756,,
HS_NonBlack_11to14_coef,0.40086310641883266,,
HS_NonBlack_11to14_se,0.1641468518248524,,
p_Black_vs_NonBlack_11to14,0.002549372693873208,,
R2_within,0.16113858592793662,0.15083711792366505,0.15260578277882275
N,1699.0,1699.0,1699.0
HS_Male_5to6_coef,,-0.00045349108658309886,
HS_Male_5to6_se,,0.2197384607567037,
HS_NonMale_5to6_coef,,0.2940634060353897,
HS_NonMale_5to6_se,,0.1597420730922897,
p_Male_vs_NonMale_5to6,,0.2441030352877442,
HS_Male_7to10_coef,,0.09869299828655832,
HS_Male_7to10_se,,0.18061883775355428,
HS_NonMale_7to10_coef,,0.2380078118751009,
HS_NonMale_7to10_se,,0.1511914956100801,
p_Male_vs_NonMale_7to10,,0.5229211504051499,
HS_Male_11to14_coef,,0.026256934883038655,
HS_Male_11to14_se,,0.19082197662478712,
HS_NonMale_11to14_coef,,0.1860298176653726,
HS_NonMale_11to14_se,,0.15553051164228482,
p_Male_vs_NonMale_11to14,,0.49008351940218053,
HS_lowAFQT_5to6_coef,,,0.4667180765483091
HS_lowAFQT_5to6_se,,,0.33729305307865926
HS_NonlowAFQT_5to6_coef,,,0.10881872618888555
HS_NonlowAFQT_5to6_se,,,0.14616372225261084
p_lowAFQT_vs_NonlowAFQT_5to6,,,0.3088495303816219
HS_lowAFQT_7to10_coef,,,0.31187541590314677
HS_lowAFQT_7to10_se,,,0.23731707543001893
HS_NonlowAFQT_7to10_coef,,,0.15523332537597712
HS_NonlowAFQT_7to10_se,,,0.13727419768230584
p_lowAFQT_vs_NonlowAFQT_7to10,,,0.5401627993778702
HS_lowAFQT_11to14_coef,,,0.12097982379945503
HS_lowAFQT_11to14_se,,,0.2637456308439846
HS_NonlowAFQT_11to14_coef,,,0.12410811158724937
HS_NonlowAFQT_11to14_se,,,0.14236799375244993
p_lowAFQT_vs_NonlowAFQT_11to14,,,0.9911979691100873
