,Black,Male,lowAFQT
HS_Black_5to6_coef,0.3375162076224183,,
HS_Black_5to6_se,0.0977544161696015,,
HS_NonBlack_5to6_coef,-0.09184785364530618,,
HS_NonBlack_5to6_se,0.1278480516298716,,
p_Black_vs_NonBlack_5to6,0.007310535710003711,,
HS_Black_7to10_coef,0.1518982174972099,,
HS_Black_7to10_se,0.07748323897432113,,
HS_NonBlack_7to10_coef,0.11581853411531187,,
HS_NonBlack_7to10_se,0.09108885671484274,,
p_Black_vs_NonBlack_7to10,0.7632626779163882,,
HS_Black_11to14_coef,0.057972141798912864,,
HS_Black_11to14_se,0.07821000121089217,,
HS_NonBlack_11to14_coef,0.1673167523038074,,
HS_NonBlack_11to14_se,0.0950291141096726,,
p_Black_vs_NonBlack_11to14,0.37355212757609546,,
R2_within,0.053591036731902575,0.047506718094356915,0.049066000326783876
N,4687.0,4687.0,4687.0
HS_Male_5to6_coef,,0.17240755836102203,
HS_Male_5to6_se,,0.11681755183802844,
HS_NonMale_5to6_coef,,0.14501967872323449,
HS_NonMale_5to6_se,,0.10893530668972398,
p_Male_vs_NonMale_5to6,,0.8630684043770737,
HS_Male_7to10_coef,,0.1675056101817159,
HS_Male_7to10_se,,0.083922778296428,
HS_NonMale_7to10_coef,,0.09563287659107511,
HS_NonMale_7to10_se,,0.08250620069042894,
p_Male_vs_NonMale_7to10,,0.5416089489888463,
HS_Male_11to14_coef,,0.1233723488844039,
HS_Male_11to14_se,,0.08633408608890356,
HS_NonMale_11to14_coef,,0.07687778940361203,
HS_NonMale_11to14_se,,0.0837648409920844,
p_Male_vs_NonMale_11to14,,0.6960120377681928,
HS_lowAFQT_5to6_coef,,,0.16189575273446008
HS_lowAFQT_5to6_se,,,0.132004334173187
HS_NonlowAFQT_5to6_coef,,,0.162555393934104
HS_NonlowAFQT_5to6_se,,,0.10121209410238134
p_lowAFQT_vs_NonlowAFQT_5to6,,,0.9968458839447796
HS_lowAFQT_7to10_coef,,,0.051504026380157664
HS_lowAFQT_7to10_se,,,0.09649881607133788
HS_NonlowAFQT_7to10_coef,,,0.17323048721509146
HS_NonlowAFQT_7to10_se,,,0.0752359517883608
p_lowAFQT_vs_NonlowAFQT_7to10,,,0.32566224319008064
HS_lowAFQT_11to14_coef,,,0.0020344849952926795
HS_lowAFQT_11to14_se,,,0.10220369964693592
HS_NonlowAFQT_11to14_coef,,,0.15473399547257685
HS_NonlowAFQT_11to14_se,,,0.07696928802274962
p_lowAFQT_vs_NonlowAFQT_11to14,,,0.23961405540764108
