,Black,Male,lowAFQT
HS_Black_5to6_coef,0.2352407797003352,,
HS_Black_5to6_se,0.16975003612706185,,
HS_NonBlack_5to6_coef,-0.03537926004543519,,
HS_NonBlack_5to6_se,0.21775735998295068,,
p_Black_vs_NonBlack_5to6,0.3150835467255067,,
HS_Black_7to10_coef,-0.08927465332666948,,
HS_Black_7to10_se,0.13884589809909645,,
HS_NonBlack_7to10_coef,0.07925354436727754,,
HS_NonBlack_7to10_se,0.18874660512898855,,
p_Black_vs_NonBlack_7to10,0.4650110069088891,,
HS_Black_11to14_coef,-0.18520121862015695,,
HS_Black_11to14_se,0.1400061553353852,,
HS_NonBlack_11to14_coef,0.14730267229566668,,
HS_NonBlack_11to14_se,0.16899210086519403,,
p_Black_vs_NonBlack_11to14,0.12543125624750398,,
R2_within,0.12759484986474634,0.11972869584385715,0.12025412241249922
N,1945.0,1945.0,1945.0
HS_Male_5to6_coef,,0.11709597865269122,
HS_Male_5to6_se,,0.1984785804526408,
HS_NonMale_5to6_coef,,0.14277375606175044,
HS_NonMale_5to6_se,,0.20907185147493976,
p_Male_vs_NonMale_5to6,,0.9310537202773528,
HS_Male_7to10_coef,,-0.03894901521623695,
HS_Male_7to10_se,,0.17411535668207173,
HS_NonMale_7to10_coef,,0.05290596994180817,
HS_NonMale_7to10_se,,0.16580227694040597,
p_Male_vs_NonMale_7to10,,0.7182029010554686,
HS_Male_11to14_coef,,-0.03130301588538727,
HS_Male_11to14_se,,0.17257952874323432,
HS_NonMale_11to14_coef,,0.008345804389198514,
HS_NonMale_11to14_se,,0.15586177869066367,
p_Male_vs_NonMale_11to14,,0.8733013410151789,
HS_lowAFQT_5to6_coef,,,0.7082634282090413
HS_lowAFQT_5to6_se,,,0.34771523593718473
HS_NonlowAFQT_5to6_coef,,,0.04564466512934396
HS_NonlowAFQT_5to6_se,,,0.15346484283720443
p_lowAFQT_vs_NonlowAFQT_5to6,,,0.08788826134291453
HS_lowAFQT_7to10_coef,,,0.222246624387038
HS_lowAFQT_7to10_se,,,0.25934983570795467
HS_NonlowAFQT_7to10_coef,,,-0.03540478246277933
HS_NonlowAFQT_7to10_se,,,0.12877831775165252
p_lowAFQT_vs_NonlowAFQT_7to10,,,0.38920785664701474
HS_lowAFQT_11to14_coef,,,0.1281296063096263
HS_lowAFQT_11to14_se,,,0.2248610047405658
HS_NonlowAFQT_11to14_coef,,,-0.03955705331759068
HS_NonlowAFQT_11to14_se,,,0.12378521744115277
p_lowAFQT_vs_NonlowAFQT_11to14,,,0.5264899584802323
