outcome,spec,HS_coef,HS_se,Pre_coef,Pre_se,p_HS_eq_Pre,N,HS_Black_coef,HS_Black_se,HS_NonBlack_coef,HS_NonBlack_se,p_HS_eq_Pre_group,p_HS_eq_Pre_nongroup,p_HS_group_eq_HS_nongroup,HS_Male_coef,HS_Male_se,HS_NonMale_coef,HS_NonMale_se,HS_lowAFQT_coef,HS_lowAFQT_se,HS_NonlowAFQT_coef,HS_NonlowAFQT_se
Repeat,overall,-0.05042985886412634,0.05165303443905173,-0.10605789117009731,0.04306794295624035,0.3250153325365013,920,,,,,,,,,,,,,,,
Repeat,subgroup_Black,,,,,,920,-0.08962506960012188,0.07102010303762588,-0.009683497245975135,0.07278777266215589,0.591282455747079,0.3069391186705639,0.42735900025206475,,,,,,,,
Repeat,subgroup_Male,,,,,,920,,,,,0.7844484415311584,0.13711405092731774,0.2632099393557162,-0.11690527958171826,0.07417555655827995,0.005219707891533386,0.07481924138899203,,,,
Repeat,subgroup_lowAFQT,,,,,,920,,,,,0.5468800040820753,0.11073309634424931,0.013847583569970909,,,,,-0.3928356898711155,0.1552453627011818,0.006561636850304871,0.05198977528215912
LD,overall,-0.03324763421158667,0.024939494602437644,-0.005423360555749024,0.02604605573200349,0.38723232346545855,990,,,,,,,,,,,,,,,
LD,subgroup_Black,,,,,,990,-0.04557382060447581,0.03139169406007558,-0.013531958116815207,0.03746511405907355,0.09150161259787844,0.815721055490002,0.5002131435089908,,,,,,,,
LD,subgroup_Male,,,,,,990,,,,,0.8001773402397346,0.1496528307201098,0.1159364965814316,0.006229263102624363,0.039044295663353615,-0.06824914330582271,0.029245450681766857,,,,
LD,subgroup_lowAFQT,,,,,,990,,,,,0.1253623155574422,0.6282864461314679,0.5335468861469645,,,,,0.007467676903050197,0.0704934194705047,-0.03895139283039107,0.026162732191645662
HSGrad,overall,0.09062619992250137,0.0450703289260953,-0.045815265281698034,0.03941349062016738,0.0068171498027966,994,,,,,,,,,,,,,,,
HSGrad,subgroup_Black,,,,,,994,0.12117088632792972,0.05876590278383666,0.04535287888617644,0.0647840069775893,0.0026147384053478726,0.3664710994945499,0.3680018491395334,,,,,,,,
HSGrad,subgroup_Male,,,,,,994,,,,,0.03400190515227183,0.07150441601898387,0.9268846575406916,0.0859136842926184,0.07277484193229565,0.09465881976582523,0.058395906720323264,,,,
HSGrad,subgroup_lowAFQT,,,,,,994,,,,,0.05900057184669113,0.04227446552737013,0.006951234057637023,,,,,0.35267023747924897,0.1071783182504663,0.04994498297363363,0.04631536056464092
HSGrad_GED,overall,0.05876203045521471,0.042300198118379144,-0.03312271109687451,0.041065396151669216,0.07717535860686375,892,,,,,,,,,,,,,,,
HSGrad_GED,subgroup_Black,,,,,,892,0.06052690727098302,0.05343193953020935,0.04584008757669089,0.06244261813885152,0.040649543552426615,0.5001424070059393,0.8528115203385132,,,,,,,,
HSGrad_GED,subgroup_Male,,,,,,892,,,,,0.26149775526275787,0.13693663143294874,0.8382778179772887,0.048073123540844476,0.07303749279156738,0.06776994329934263,0.05529694564891863,,,,
HSGrad_GED,subgroup_lowAFQT,,,,,,892,,,,,0.2126752656961919,0.20021856544909525,0.0952505517949433,,,,,0.22671029687756986,0.1124508740427249,0.03229511224322471,0.043566245510891624
someCollAtt,overall,0.019995936899358722,0.04454715045578287,0.01976636778992789,0.04354812970036414,0.9965922829470101,994,,,,,,,,,,,,,,,
someCollAtt,subgroup_Black,,,,,,994,0.07005270831995533,0.06300054939159196,-0.032913435601935055,0.06102156934297806,0.8046121053058394,0.6320723679658888,0.23891488425344076,,,,,,,,
someCollAtt,subgroup_Male,,,,,,994,,,,,0.22277236704419773,0.31858544522909604,0.06288008935608856,-0.06039140073551304,0.05897573880989307,0.09158182050248961,0.06137193247879866,,,,
someCollAtt,subgroup_lowAFQT,,,,,,994,,,,,0.5776121091920322,0.8915491187162689,0.7921357954320389,,,,,-0.004673197526182338,0.09906748406620926,0.023980112138771485,0.048535110248023546
