outcome,spec,HS_coef,HS_se,Pre_coef,Pre_se,p_HS_eq_Pre,N,HS_Black_coef,HS_Black_se,HS_NonBlack_coef,HS_NonBlack_se,p_HS_eq_Pre_group,p_HS_eq_Pre_nongroup,p_HS_group_eq_HS_nongroup,HS_Male_coef,HS_Male_se,HS_NonMale_coef,HS_NonMale_se,HS_lowAFQT_coef,HS_lowAFQT_se,HS_NonlowAFQT_coef,HS_NonlowAFQT_se
Repeat,overall,0.03978513506396961,0.08535590841394568,-0.06442310994465657,0.06302225937023201,0.26716451464242424,406,,,,,,,,,,,,,,,
Repeat,subgroup_Black,,,,,,406,0.13870529560402833,0.10120641659642797,-0.04580117213548657,0.1123964765457991,0.27236023737267434,0.7508819895160703,0.1663377497737258,,,,,,,,
Repeat,subgroup_Male,,,,,,406,,,,,0.41667796189563344,0.39273299130873096,0.15803611689182392,-0.0725584269506778,0.1238231180245526,0.14280690824688647,0.10782346094273917,,,,
Repeat,subgroup_lowAFQT,,,,,,406,,,,,0.699593735025166,0.15612363945785443,0.0311625285659412,,,,,-0.24811652354719263,0.14893171840286018,0.10886869052532301,0.09617975032286792
LD,overall,-0.016440746000607288,0.042614055096759855,-0.03877831072329055,0.03546017811196265,0.6649891091469096,434,,,,,,,,,,,,,,,
LD,subgroup_Black,,,,,,434,0.017830349105301214,0.062389170050493076,-0.04446865683743197,0.03611677990279198,0.7014015058899572,0.8990010218222738,0.3027473663556363,,,,,,,,
LD,subgroup_Male,,,,,,434,,,,,0.15268262826605114,0.48078485917774294,0.03520741580234884,0.08025708001182096,0.06444611754636309,-0.09542580690839228,0.05206631076537596,,,,
LD,subgroup_lowAFQT,,,,,,434,,,,,0.9228139115402886,0.6633631870707521,0.9648306360806805,,,,,-0.01882101566338674,0.06941703359521104,-0.01595546426272483,0.043741424759131675
HSGrad,overall,0.03159398966559651,0.05821548653651777,-0.023359342919412197,0.04668752821004428,0.4177420993850385,436,,,,,,,,,,,,,,,
HSGrad,subgroup_Black,,,,,,436,0.011470644703603861,0.07415730750701167,0.020641150652603628,0.07678981349448828,0.2046802192939787,0.9454310111165021,0.9201392404293341,,,,,,,,
HSGrad,subgroup_Male,,,,,,436,,,,,0.15595798044085643,0.7942161588567203,0.8451920249054627,0.05375966462293728,0.09736334336800541,0.02875479456405157,0.07450139301091183,,,,
HSGrad,subgroup_lowAFQT,,,,,,436,,,,,0.5458912664125668,0.5993906517779233,0.42152281251660895,,,,,0.10916520848551386,0.11214124793618648,0.015271773906746774,0.06173707379998149
HSGrad_GED,overall,0.03324730992055248,0.057740027187282696,-0.03111525535380875,0.04140919269226553,0.30175210168244115,395,,,,,,,,,,,,,,,
HSGrad_GED,subgroup_Black,,,,,,395,-0.006179089277964391,0.07531371174427132,0.03821873288437409,0.07505605222740103,0.2484078885831081,0.6585337792706505,0.5875021384513879,,,,,,,,
HSGrad_GED,subgroup_Male,,,,,,395,,,,,0.16186889075338184,0.9991504104765139,0.8034160146323635,0.024593068571365322,0.10056438077269833,0.05493277541786486,0.07083418328811707,,,,
HSGrad_GED,subgroup_lowAFQT,,,,,,395,,,,,0.5548848098999135,0.4017554080534256,0.5904300354807943,,,,,0.09979937247185966,0.1440124995415145,0.020446549196889874,0.05796406876112631
someCollAtt,overall,0.05756651910068973,0.07428571932968596,0.034444435909689895,0.06483831020116983,0.7819216279183253,436,,,,,,,,,,,,,,,
someCollAtt,subgroup_Black,,,,,,436,0.09766244367313388,0.10628485307228154,0.011095006919790068,0.10794751534824344,0.4875836637822849,0.8313914550056893,0.559709894809475,,,,,,,,
someCollAtt,subgroup_Male,,,,,,436,,,,,0.6509475329347169,0.49501353147844696,0.3398917357612159,-0.024104510750955634,0.1148490965317868,0.12358470615023309,0.0985434413679093,,,,
someCollAtt,subgroup_lowAFQT,,,,,,436,,,,,0.7623714770720627,0.8970527789059927,0.6936830933968872,,,,,0.11567121772405307,0.16144912348846083,0.04483354805027946,0.0824011834678442
Idle,overall,-0.08027232496131821,0.06754519702400887,-0.03861963641443726,0.05224228006612514,0.5250746657950636,404,,,,,,,,,,,,,,,
Idle,subgroup_Black,,,,,,404,-0.06381454547998741,0.09076245956214463,-0.07874152885187302,0.09170984091314958,0.41290251759701113,0.8405260086784259,0.8916786731495682,,,,,,,,
