outcome,spec,HS_coef,HS_se,Pre_coef,Pre_se,p_HS_eq_Pre,N,HS_Black_coef,HS_Black_se,HS_NonBlack_coef,HS_NonBlack_se,p_HS_eq_Pre_group,p_HS_eq_Pre_nongroup,p_HS_group_eq_HS_nongroup,HS_Male_coef,HS_Male_se,HS_NonMale_coef,HS_NonMale_se,HS_lowAFQT_coef,HS_lowAFQT_se,HS_NonlowAFQT_coef,HS_NonlowAFQT_se
Repeat,overall,-0.07264221970352325,0.039080378585868936,-0.10375590783903024,0.03686547210951036,0.5086686833330786,1116,,,,,,,,,,,,,,,
Repeat,subgroup_Black,,,,,,1171,-0.11000575721762561,0.05664697415681838,-0.029557837282446972,0.05858043382545029,0.9930431898127039,0.6104984845470157,0.3233113854169799,,,,,,,,
Repeat,subgroup_Male,,,,,,1171,,,,,0.1065722561844834,0.053036272509817114,0.001816432544566533,-0.2073533240064322,0.05770678843804064,0.05322169793867775,0.05754362301340099,,,,
Repeat,subgroup_lowAFQT,,,,,,1171,,,,,0.4422760625939799,0.3756998345633261,0.18614137380725546,,,,,-0.1437419119496032,0.06783487473520945,-0.032617900453757384,0.050540284415758904
LD,overall,-0.0566823992730604,0.02176273810527841,-0.012331840997650431,0.02294149346363152,0.10246032340033573,1192,,,,,,,,,,,,,,,
LD,subgroup_Black,,,,,,1247,-0.07021505483748361,0.028330557514465303,-0.04576302100696447,0.03045396081411435,0.33915065726926197,0.4293977487045578,0.5469203199062957,,,,,,,,
LD,subgroup_Male,,,,,,1247,,,,,0.6621618249707248,0.11461307169998115,0.5618056375844674,-0.04655322177426528,0.030675210405321382,-0.06930457895499205,0.02634790127051651,,,,
LD,subgroup_lowAFQT,,,,,,1247,,,,,0.167329675470486,0.7955898959452348,0.09325956898156822,,,,,-0.10927573152009461,0.04251895016867,-0.030419552582054296,0.021487378324048276
HSGrad,overall,0.08576597763531815,0.029606885910844667,-0.006334014183795025,0.02951109009736968,0.013015956853490036,1196,,,,,,,,,,,,,,,
HSGrad,subgroup_Black,,,,,,1251,0.10938740119838627,0.041380299303224656,0.055579631228294256,0.04798024359812622,0.0198615243786384,0.2199353216843286,0.39758048920070443,,,,,,,,
