outcome,spec,HS_coef,HS_se,Pre_coef,Pre_se,p_HS_eq_Pre,N,HS_Black_coef,HS_Black_se,HS_NonBlack_coef,HS_NonBlack_se,p_HS_eq_Pre_group,p_HS_eq_Pre_nongroup,p_HS_group_eq_HS_nongroup,HS_Male_coef,HS_Male_se,HS_NonMale_coef,HS_NonMale_se,HS_lowAFQT_coef,HS_lowAFQT_se,HS_NonlowAFQT_coef,HS_NonlowAFQT_se
Repeat,overall,0.05974290596069948,0.06614514956861053,0.010622728973234321,0.04723573602051093,0.4465905931905434,462,,,,,,,,,,,,,,,
Repeat,subgroup_Black,,,,,,462,0.0885980378091551,0.08553112755456899,0.001566647209622886,0.10503369750437866,0.2627712852303969,0.8977877902082695,0.5071881674781223,,,,,,,,
Repeat,subgroup_Male,,,,,,462,,,,,0.4009230188021732,0.8950182682056437,0.33962897076660714,0.13561999321413695,0.10770664472765018,-0.02764541906393648,0.1085734743440751,,,,
Repeat,subgroup_lowAFQT,,,,,,462,,,,,0.5643898925780546,0.28415864374061184,0.7643415995427674,,,,,0.01670314051070728,0.1752424403227319,0.07284837912299018,0.06907452892536829
LD,overall,-0.017205376814555265,0.03008286795704638,0.009948633004008237,0.026569243238264154,0.42723985670036746,492,,,,,,,,,,,,,,,
LD,subgroup_Black,,,,,,492,-0.007230828353080363,0.036489520744427295,-0.05138724530478861,0.05349741114373401,0.601714935623177,0.16622484145887254,0.5036676966067664,,,,,,,,
LD,subgroup_Male,,,,,,492,,,,,0.6140597343376833,0.5912776024520262,0.7551518490433013,-0.004762847208458736,0.05862227162504397,-0.03082712599743281,0.04269867891526905,,,,
LD,subgroup_lowAFQT,,,,,,492,,,,,0.48034691612261726,0.6491642985958932,0.7355877359306746,,,,,-0.040295346867894793,0.07131546735994616,-0.01103561568144758,0.03702332135233539
HSGrad,overall,0.0054778014226794436,0.05008273970829194,-0.028954203610458862,0.04160688210394242,0.509645084830527,494,,,,,,,,,,,,,,,
HSGrad,subgroup_Black,,,,,,494,-0.03940664010872293,0.062314544281363946,0.0629522930448512,0.08129811531746528,0.9609559443310104,0.27457497405649445,0.30520962316433686,,,,,,,,
HSGrad,subgroup_Male,,,,,,494,,,,,0.40344665153425696,0.9300761498619449,0.8299312384144478,0.02035834915598112,0.08938902923083446,-0.009076960994820504,0.0804640309511096,,,,
HSGrad,subgroup_lowAFQT,,,,,,494,,,,,0.9367528099339028,0.7701681535161098,0.015997943871684944,,,,,0.2913086908784832,0.12580041613529555,-0.05936722503650178,0.055359677085439866
HSGrad_GED,overall,0.0015323466872489157,0.056638970275258715,-0.05053155325810696,0.04866576798010043,0.38365119692264493,441,,,,,,,,,,,,,,,
HSGrad_GED,subgroup_Black,,,,,,441,-0.13166969386796679,0.06640994899979424,0.16514987456086713,0.08738885466153785,0.9659822680693656,0.03767511325140564,0.003648236380494309,,,,,,,,
HSGrad_GED,subgroup_Male,,,,,,441,,,,,0.45022915816736386,0.8279135359820293,0.5182617546351356,0.04273020531714139,0.08496861825479637,-0.0384662556044114,0.08428089333041144,,,,
HSGrad_GED,subgroup_lowAFQT,,,,,,441,,,,,0.6142390288437154,0.6904172016735273,0.08536701126857939,,,,,0.2789980569437902,0.17774561782014642,-0.05930702586990606,0.06257582900159071
someCollAtt,overall,0.02114591288747254,0.06309262028713555,0.05450234203958428,0.0610397643669904,0.6562724349139069,494,,,,,,,,,,,,,,,
someCollAtt,subgroup_Black,,,,,,494,0.041447216564753295,0.0857501524128798,-0.03928670578683085,0.09931566942096154,0.6607415837175172,0.280704328855322,0.5453552695696388,,,,,,,,
someCollAtt,subgroup_Male,,,,,,494,,,,,0.1166132018211263,0.33765988685805437,0.6992440768266945,-0.012044803079443014,0.09640004246011685,0.05100071598211954,0.10802967361005042,,,,
someCollAtt,subgroup_lowAFQT,,,,,,494,,,,,0.04758051458939789,0.26500398549402443,0.27005339790958155,,,,,0.14856073433855949,0.12357255067212587,-0.012465298661892625,0.07309573307836169
Idle,overall,-0.06943580504607473,0.06589215321148474,0.036586762085539015,0.05262235646055839,0.12804181561220299,453,,,,,,,,,,,,,,,
Idle,subgroup_Black,,,,,,453,-0.00877300195924779,0.07224670895873161,-0.184876856246385,0.1060497419531562,0.5413062281369758,0.01339691320548138,0.13988353432812056,,,,,,,,
Idle,subgroup_Male,,,,,,453,,,,,0.12016728230148613,0.8039226901892277,0.6235077889358107,-0.10622972083744163,0.10560541385378873,-0.02947947160256984,0.09690612281787297,,,,
Idle,subgroup_lowAFQT,,,,,,453,,,,,0.7569376938755696,0.17955135349506712,0.7142234914646646,,,,,-0.13441440515672515,0.19158436950755875,-0.05755596396489454,0.07200868155236721
Crime,overall,-0.047794837861427804,0.06568337486876352,-0.024950663916275415,0.05568655282813318,0.7269957967230511,494,,,,,,,,,,,,,,,
Crime,subgroup_Black,,,,,,494,-0.07513400466597872,0.10114084129258079,-0.012041928204077306,0.0955230362095708,0.7035630505727661,0.9319043670584202,0.6597457381550867,,,,,,,,
Crime,subgroup_Male,,,,,,494,,,,,0.9131677198905094,0.821098108602313,0.6643984802798231,-0.08667255818807859,0.12873234091498315,-0.004400640239043949,0.09878971041632074,,,,
Crime,subgroup_lowAFQT,,,,,,494,,,,,0.5259063878519039,0.8220828845440048,0.5599771053504409,,,,,0.05308275083107708,0.19910100029801417,-0.06935375767450361,0.06622258860005965
TeenPreg,overall,-0.07324262727901783,0.06361042350602263,-0.017838667524576003,0.05470592517868095,0.41675233285159075,494,,,,,,,,,,,,,,,
TeenPreg,subgroup_Black,,,,,,494,-0.06800896112865071,0.09149536585094317,-0.1042964951827878,0.09296116985451218,0.9900255536551724,0.25713049978802055,0.7781466963376082,,,,,,,,
TeenPreg,subgroup_Male,,,,,,494,,,,,0.06970330043156975,0.7250739100741268,0.2550237217033695,0.014532740365130498,0.09600869553988146,-0.17584801000907527,0.11196334752441224,,,,
TeenPreg,subgroup_lowAFQT,,,,,,494,,,,,0.48534291989337186,0.6303998889863957,0.3878045877277624,,,,,-0.19170261115248044,0.15145438459051874,-0.04524204524630313,0.07100236605921735
PoorHealth,overall,-0.11088076392257373,0.04658688482824776,-0.09966002924191691,0.04219474884743463,0.8073448349209135,494,,,,,,,,,,,,,,,
PoorHealth,subgroup_Black,,,,,,494,-0.08980513871512133,0.06070310114092258,-0.19800862761601426,0.06993158230906371,0.05441528403959222,0.048606156248959316,0.22836609580434197,,,,,,,,
PoorHealth,subgroup_Male,,,,,,494,,,,,0.3739633015398308,0.6559191100107732,0.6710566690604003,-0.13664904543539896,0.07297720068104038,-0.084557368058498,0.08005000485024699,,,,
PoorHealth,subgroup_lowAFQT,,,,,,494,,,,,0.7602973154785966,0.694410035926035,0.8320574578902246,,,,,-0.08804877397549332,0.11955254062227376,-0.11676435022963172,0.05286529119298107
